;appid;name;Year;english;platforms_windows;platforms_mac;platforms_linux;genres_Action;genres_Free to Play;genres_Strategy;genres_Adventure;genres_Indie;genres_RPG;genres_Casual;genres_Simulation;genres_Racing;genres_Violent;genres_Massively Multiplayer;genres_Nudity;genres_Sports;genres_Early Access;genres_Gore;genres_Sexual Content;categories_Multi-player;categories_Online Multi-Player;categories_Local Multi-Player;categories_Valve Anti-Cheat enabled;categories_Single-player;categories_Steam Cloud;categories_Steam Achievements;categories_Steam Trading Cards;categories_Captions available;categories_Partial Controller Support;categories_Includes Source SDK;categories_Cross-Platform Multiplayer;categories_Stats;categories_Commentary available;categories_Includes level editor;categories_Steam Workshop;categories_In-App Purchases;categories_Co-op;categories_Full controller support;categories_Steam Leaderboards;categories_SteamVR Collectibles;categories_Online Co-op;categories_Shared/Split Screen;categories_Local Co-op;categories_MMO;categories_VR Support;categories_Mods;categories_Mods (require HL2);categories_Steam Turn Notifications;achievements;%_ratings;QTD_ratings;owners_mean;average_playtime_>0;price;log_price;log_log_price
327;13000;Ninja Reflex: Steamworks Edition;2008;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0.9230769230769231;52;10000.0;1;3.99;1.6074359097634274;0.958367328401236
348;15160;Petz® Horsez® 2;2009;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666666666666;114;10000.0;0;4.29;1.665818245870208;0.9805110445901242
369;15800;Planet Busters;2008;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0.5;2;10000.0;0;5.99;1.944480556245719;1.0799324199660887
371;15910;Luxor Amun Rising;2008;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666666666666;9;10000.0;0;5.99;1.944480556245719;1.0799324199660887
375;15970;Luxor;2008;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6744186046511628;43;10000.0;0;5.99;1.944480556245719;1.0799324199660887
376;16000;Discovery! A Seek and Find Adventure;2008;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.40816326530612246;49;10000.0;0;6.99;2.0781907597781832;1.1243420087328786
379;16040;Luxor: Quest for the Afterlife ;2008;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6744186046511628;43;10000.0;0;5.99;1.944480556245719;1.0799324199660887
381;16100;Virtual Villagers: A New Home;2008;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7407407407407407;27;10000.0;0;5.99;1.944480556245719;1.0799324199660887
382;16110;Virtual Villagers: The Lost Children;2008;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7857142857142857;14;10000.0;0;5.99;1.944480556245719;1.0799324199660887
383;16120;Plant Tycoon;2008;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9056603773584906;53;10000.0;0;5.99;1.944480556245719;1.0799324199660887
384;16130;Fish Tycoon;2008;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.813953488372093;43;10000.0;0;5.99;1.944480556245719;1.0799324199660887
385;16180;Virtual Villagers - The Secret City;2008;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8205128205128205;39;10000.0;0;5.99;1.944480556245719;1.0799324199660887
386;16200;Virtual Families;2009;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7407407407407407;27;10000.0;0;7.49;2.138889000323256;1.1438689157574442
388;16500;Chaos Theory;2008;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0.9090909090909091;11;10000.0;0;1.99;1.095273387402595;0.739684040040582
390;16620;Monster Trucks Nitro ;2009;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6176470588235294;34;10000.0;0;16.99;2.8898160479624417;1.3583618680706897
400;17180;Mosby's Confederacy;2008;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0.7142857142857143;21;10000.0;0;6.99;2.0781907597781832;1.1243420087328786
427;18600;Mayhem Intergalactic;2009;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0.5454545454545454;22;10000.0;0;6.99;2.0781907597781832;1.1243420087328786
431;19020;Puzzle Chronicles;2010;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0.6666666666666666;24;10000.0;0;7.99;2.196112848483529;1.1619353365683824
432;19030;Rocket Knight;2010;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;16;0.7608695652173914;92;10000.0;0;11.99;2.5641798306825083;1.2709339658784151
433;19080;Biozone;2010;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07142857142857142;14;10000.0;0;7.99;2.196112848483529;1.1619353365683824
435;19320;Space Ark;2012;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0.42857142857142855;14;10000.0;0;3.99;1.6074359097634274;0.958367328401236
436;19500;Eternity's Child;2008;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.25396825396825395;63;10000.0;1;2.99;1.3837912309017721;0.8686921744380808
441;20200;Galactic Bowling;2008;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0.375;16;10000.0;0;13.99;2.7073833121145063;1.3103263210658722
447;20700;Starscape;2008;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0.7692307692307693;65;10000.0;1;5.99;1.944480556245719;1.0799324199660887
458;21300;Gravitron 2;2008;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0.7037037037037037;27;10000.0;0;2.99;1.3837912309017721;0.8686921744380808
459;21400;Project Aftermath;2008;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0.6666666666666666;15;10000.0;0;4.79;1.7561322915849038;1.01382835330015
460;21500;Pyroblazer®;2008;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.625;8;10000.0;0;4.99;1.7900914121273581;1.0260743594998938
489;23150;Fluttabyes;2010;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0.7222222222222222;18;10000.0;0;1.59;0.9516578757114463;0.6686792040391188
538;26300;Drug Wars;2009;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.29545454545454547;44;10000.0;0;3.99;1.6074359097634274;0.958367328401236
543;27050;Fatale;2009;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5463917525773195;97;10000.0;0;4.99;1.7900914121273581;1.0260743594998938
544;27200;Summer Athletics;2009;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.5833333333333334;24;10000.0;0;15.99;2.8326249356838407;1.34354993023676
547;27600;Mevo and The Grooveriders;2009;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0.92;25;10000.0;0;5.99;1.944480556245719;1.0799324199660887
561;31300;Tunnel Rats;2009;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36666666666666664;30;10000.0;0;15.99;2.8326249356838407;1.34354993023676
562;31800;Nancy Drew®: Danger by Design;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.625;24;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
564;31820;Nancy Drew®: The Haunted Carousel;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8536585365853658;41;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
566;31840;Nancy Drew®: Danger on Deception Island;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9411764705882353;34;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
567;31850;Nancy Drew®: Ghost Dogs of Moon Lake;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8947368421052632;38;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
568;31860;Nancy Drew®: Legend of the Crystal Skull;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8888888888888888;27;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
569;31870;Nancy Drew® Dossier: Lights, Camera, Curses!;2009;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.45454545454545453;22;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
570;31880;Nancy Drew®: Secret of the Old Clock;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9333333333333333;30;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
571;31890;Nancy Drew®: Secret of the Scarlet Hand;2009;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8695652173913043;23;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
572;31900;Nancy Drew®: The Creature of Kapu Cave;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7307692307692307;26;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
573;31910;Nancy Drew®: The Haunting of Castle Malloy;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8125;32;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
574;31920;Nancy Drew®: The Phantom of Venice;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.76;25;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
575;31930;Nancy Drew®: The White Wolf of Icicle Creek;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.75;36;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
576;31980;Nancy Drew®: Ransom of the Seven Ships;2009;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0.6666666666666666;27;10000.0;0;5.19;1.8229350866965048;1.0377771545671974
577;32000;Raycatcher;2009;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;13;10000.0;0;3.99;1.6074359097634274;0.958367328401236
579;32120;Chainz 2: Relinked;2009;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5714285714285714;42;10000.0;0;6.99;2.0781907597781832;1.1243420087328786
581;32150;Everyday Genius: SquareLogic;2009;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;24;0.9805825242718447;309;10000.0;0;3.99;1.6074359097634274;0.958367328401236
602;32610;Delta Force Xtreme 2;2009;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5813953488372093;86;10000.0;0;14.99;2.771963526845863;1.3275956952774475
607;32660;Delta Force: Xtreme;2009;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7454545454545455;55;10000.0;0;14.99;2.771963526845863;1.3275956952774475
616;32770;Joint Operations: Combined Arms Gold;2009;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.8768115942028986;138;10000.0;0;14.99;2.771963526845863;1.3275956952774475
625;33390;Zeit²;2011;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;70;0.7878787878787878;33;10000.0;0;8.59;2.2607208888953467;1.1819483024956259
633;33660;Ziro;2010;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;36;0.75;28;10000.0;0;4.99;1.7900914121273581;1.0260743594998938
636;33760;The Search for Amelia Earhart;2010;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;5;10000.0;0;4.99;1.7900914121273581;1.0260743594998938
638;33790;Elizabeth Find M.D. - Diagnosis Mystery - Season 2;2011;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5517241379310345;29;10000.0;0;14.99;2.771963526845863;1.3275956952774475
651;34630;Massive Assault;2009;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.75;8;10000.0;0;6.99;2.0781907597781832;1.1243420087328786
652;34640;Massive Assault: Phantom Renaissance;2009;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8461538461538461;13;10000.0;0;6.99;2.0781907597781832;1.1243420087328786
675;36100;Tradewinds Classics;2009;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9555555555555556;45;10000.0;0;3.99;1.6074359097634274;0.958367328401236
676;36130;Tradewinds Caravans + Odyssey Pack;2009;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;5;10000.0;0;10.99;2.4840729690394228;1.248202002812099
677;36180;Cake Mania Collection;2009;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.717948717948718;39;10000.0;0;10.99;2.4840729690394228;1.248202002812099
